episodeId,title,producers,releaseDate,nextInRelease,nextInStory
4,A New Hope,"Gary Kurtz, Rick McCallum",1977-05-25,The Empire Strikes Back,The Empire Strikes Back
5,The Empire Strikes Back,"Gary Kurtz, Rick McCallum",1980-05-17,Return of the Jedi,Return of the Jedi
6,Return of the Jedi,"Howard G. Kazanjian, George Lucas, Rick McCallum",1983-05-25,The Phantom Menace,The Force Awakens
1,The Phantom Menace,Rick McCallum,1999-05-19,Attack of the Clones,Attack of the Clones
2,Attack of the Clones,Rick McCallum,2002-05-16,Revenge of the Sith,Revenge of the Sith
3,Revenge of the Sith,Rick McCallum,2005-05-19,The Force Awakens,A New Hope
7,The Force Awakens,null,2015-12-14,The Last Jedi,The Last Jedi
8,The Last Jedi,null,2017-12-15,The Rise of Skywalker,The Rise of Skywalker
9,The Rise of Skywalker,null,2019-12-16,null,null
