source_id,target_id,count
RABE,SIO BIBBLE,4
RABE,VALORUM,3
RABE,RUNE,2
RABE,TEY HOW,1
RED LEADER,Wedge Antilles,6
RED LEADER,RED TEN,1
RUNE,Yoda,1
RUNE,SIO BIBBLE,2
RUNE,TEY HOW,2
RUWEE,SOLA,1
SEBULBA,Shmi Skywalker,4
SEBULBA,Watto,4
SENATOR ASK AAK,Yoda,1
SIO BIBBLE,Yoda,1
SNAP,Watto,1
TC-14,Yoda,1
